Career,Internship_Role,Required_Skills
Cybersecurity Analyst,Digital Forensics Intern,"EnCase, FTK Imager, Malware Analysis, Evidence Handling, Reverse Engineering"
DevOps Engineer,DevOps Engineering Intern,"CI/CD Pipelines, Jenkins, Git, Docker, Linux, Bash Scripting"
DevOps Engineer,Site Reliability Intern (SRE),"Kubernetes, Prometheus, Grafana, System Architecture, Troubleshooting"
DevOps Engineer,Infrastructure as Code Intern,"Terraform, Ansible, AWS, Shell Scripting, GitOps"
DevOps Engineer,Build and Release Intern,"Maven, Gradle, Git, Artifact Management, Automated Deployments"
DevOps Engineer,Platform Engineering Intern,"Kubernetes, Internal Developer Platforms, Cloud Infrastructure, Python"
Product Manager,Product Management Intern,"Agile Methodologies, Wireframing, Jira, Market Research, User Persona Development"
Product Manager,Associate Product Intern,"Product Analytics, SQL, Amplitude, User Interviewing, Roadmap Planning"
Product Manager,Technical Product Intern,"API Documentation, System Architecture Basics, SQL, Software Development Lifecycle"
Product Manager,Growth Product Intern,"A/B Testing, Funnel Optimization, Google Analytics, Customer Acquisition Strategies"
Product Manager,Product Design & Strategy Intern,"Figma, Competitor Analysis, Value Proposition Canvas, UX Research"
Software Engineer,Software Engineering Intern,"Data Structures, Algorithms, Java/C++, Git, Object-Oriented Programming"
Software Engineer,Full Stack Developer Intern,"Node.js, React, MongoDB, Express, JavaScript, REST APIs"
Software Engineer,Backend Engineering Intern,"Python, Go, SQL, System Design Basics, Microservices"
Software Engineer,Frontend Engineering Intern,"HTML, CSS, JavaScript, React, Vue, UI Component Libraries"
Software Engineer,Mobile Application Intern,"Flutter, React Native, Swift, Kotlin, Mobile UI Design"
Software Engineer,Systems Programming Intern,"C, C++, Operating Systems, Memory Management, Linux Systems"
Business Analyst,Business Analyst Intern,"Requirements Gathering, BRD/FRD Documenting, SQL, Jira, Agile"
Business Analyst,Process Excellence Intern,"Six Sigma, Process Mapping, Visio, Lean Methodologies, Operations Flow"
Business Analyst,Strategy & Operations Intern,"Market Research, Financial Modeling, Competitive Intelligence, PowerPoint"
Business Analyst,Functional Consultant Intern,"ERP Systems, Gap Analysis, Stakeholder Communication, User Acceptance Testing (UAT)"
Business Analyst,Data-Driven BA Intern,"SQL, Tableau, Excel Macros, Predictive Analytics, Report Generation"
Advocate / Legal,Legal Intern,"Legal Research, Drafting Agreements, Case Law Analysis, Litigation Support"
Advocate / Legal,Corporate Legal Intern,"Contract Lifecycle Management, M&A Due Diligence, Compliance, Companies Act"
Advocate / Legal,Intellectual Property Intern,"Trademark Filing, Patent Research, Copyright Law, IP Infringement Analysis"
Advocate / Legal,Cyber Law Intern,"Data Privacy Laws, Information Technology Act, GDPR Compliance, Digital Contracts"
Advocate / Legal,Arbitration & Dispute Intern,"Alternative Dispute Resolution (ADR), Brief Drafting, Case Strategy, Client Interaction"
Marketing / Digital Marketing,Digital Marketing Intern,"SEO, Google Ads, Social Media Management, Content Writing, Google Analytics"
Marketing / Digital Marketing,Growth Marketing Intern,"Performance Marketing, Customer Acquisition, Content Funnels, Email Campaigns"
Marketing / Digital Marketing,Brand Management Intern,"Market Research, Brand Strategy, Campaign Planning, Competitor Benchmarking"
Marketing / Digital Marketing,Public Relations Intern,"Press Releases, Media Relations, Event Management, Communication, Copywriting"
Marketing / Digital Marketing,Content Marketing Intern,"SEO Copywriting, Blogging, Video Scripting, Canva, Social Media Trends"
Finance / Accountant,Financial Analyst Intern,"Financial Modeling, Corporate Finance, Advanced Excel, Valuation Techniques"
Finance / Accountant,Investment Banking Intern,"DCF Valuation, Pitchbooks, Market Analysis, Financial Statement Auditing"
Finance / Accountant,Corporate Accounting Intern,"Tally, QuickBooks, Tax Compliance (GST/VAT), General Ledger, Reconciliation"
Finance / Accountant,Audit and Assurance Intern,"Internal Controls, Statutory Auditing, Excel, Risk Evaluation, SOX Compliance"
Finance / Accountant,Equity Research Intern,"Financial Analysis, Sector Reports, Macroeconomic Tracking, Report Writing"
Mechanical Engineer,Mechanical Design Intern,"AutoCAD, SolidWorks, CATIA, Geometric Dimensioning & Tolerancing (GD&T)"
Mechanical Engineer,FEA / Simulation Intern,"ANSYS, Abaqus, Finite Element Analysis, Thermal Modeling, Fluid Dynamics"
Mechanical Engineer,Production & Manufacturing Intern,"Lean Manufacturing, Kaizen, Inventory Control, CNC Programming, Quality Assurance"
Mechanical Engineer,Automotive Engineering Intern,"Vehicle Dynamics, MATLAB, Powertrain Systems, IC Engines/EV Tech"
Mechanical Engineer,HVAC Engineering Intern,"Load Calculations, Psychrometrics, Duct Design, Building Automation Systems"
Civil Engineer,Structural Engineering Intern,"STAAD Pro, ETABS, Concrete Design, Steel Structures, AutoCAD"
Civil Engineer,Site Engineering Intern,"Construction Supervision, Bar Bending Schedules, Surveying, Safety Protocols"
Civil Engineer,Project Management Intern,"MS Project, Primavera, Quantity Surveying, Cost Estimation, Bill of Quantities (BOQ)"
Civil Engineer,Geotechnical Engineering Intern,"Soil Mechanics, Foundation Testing, Core Sampling, Geotechnical Software"
Civil Engineer,Transportation Engineering Intern,"Pavement Design, MX Road, Traffic Engineering, GIS Mapping"
Electrical Engineer,Electrical Design Intern,"MATLAB, AutoCAD Electrical, Power Systems, Circuit Design"
Electrical Engineer,Embedded Systems Intern,"Microcontrollers, C/C++, IoT Protocols, Arduino/Raspberry Pi"
Electrical Engineer,Power Electronics Intern,"Inverter Design, Converters, PCB Layout, Altium Designer, Simulations"
Electrical Engineer,Automation & Control Intern,"PLC Programming, SCADA, Industrial Automation, Sensors & Actuators"
Electrical Engineer,Renewable Energy Intern,"Solar PV Design, Battery Management Systems (BMS), Grid Integration, PVSyst"
